test_id,asset_id,control_id,rule_id,requirement_id,expected_status,actual_status,expected_governance_status,actual_governance_status,passed,purpose,details
TC-RULE-ID-AM-01-COMPLIANT,asset-tc-rule-id-am-01-compliant,CTRL-ID-AM-01,RULE-ID-AM-01,REQ-ID-AM-01,COMPLIANT,COMPLIANT,NONE,NONE,True,Positive path: all observable rule conditions and required evidence are satisfied.,asset.hardware_inventory_complete=True:pass
TC-RULE-ID-AM-01-VIOLATION,asset-tc-rule-id-am-01-violation,CTRL-ID-AM-01,RULE-ID-AM-01,REQ-ID-AM-01,NON_COMPLIANT,NON_COMPLIANT,NONE,NONE,True,Known values deliberately violate the technical conditions exercised by this rule.,asset.hardware_inventory_complete=False:fail
TC-RULE-ID-AM-01-NO-EVIDENCE,asset-tc-rule-id-am-01-no-evidence,CTRL-ID-AM-01,RULE-ID-AM-01,REQ-ID-AM-01,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,True,A required evidence item is detached; the rule cannot be verified conclusively.,asset.hardware_inventory_complete=True:pass | Missing evidence.asset_inventory
TC-RULE-ID-AM-02-COMPLIANT,asset-tc-rule-id-am-02-compliant,CTRL-ID-AM-02,RULE-ID-AM-02,REQ-ID-AM-02,COMPLIANT,COMPLIANT,NONE,NONE,True,Positive path: all observable rule conditions and required evidence are satisfied.,Asset.asset-tc-rule-id-am-02-compliant.name='Asset sintetico TC-RULE-ID-AM-02-COMPLIANT':pass | Service.svc-https.name='HTTPS':pass | Service.svc-https.authorized=True:pass | SoftwareComponent.software-web.name='ExampleWeb':pass | SoftwareComponent.software-web.version='1.0.0':pass | SoftwareComponent.software-web.authorized=True:pass
TC-RULE-ID-AM-02-VIOLATION,asset-tc-rule-id-am-02-violation,CTRL-ID-AM-02,RULE-ID-AM-02,REQ-ID-AM-02,NON_COMPLIANT,NON_COMPLIANT,NONE,NONE,True,Known values deliberately violate the technical conditions exercised by this rule.,Asset.asset-tc-rule-id-am-02-violation.name='Asset sintetico TC-RULE-ID-AM-02-VIOLATION':pass | Service.svc-https.name='':fail | Service.svc-https.authorized=False:fail | SoftwareComponent.software-web.name='':fail | SoftwareComponent.software-web.version='':fail | SoftwareComponent.software-web.authorized=False:fail | Missing SoftwareComponent.software-web.name
TC-RULE-ID-AM-02-NO-EVIDENCE,asset-tc-rule-id-am-02-no-evidence,CTRL-ID-AM-02,RULE-ID-AM-02,REQ-ID-AM-02,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,True,A required evidence item is detached; the rule cannot be verified conclusively.,Asset.asset-tc-rule-id-am-02-no-evidence.name='Asset sintetico TC-RULE-ID-AM-02-NO-EVIDENCE':pass | Service.svc-https.name='HTTPS':pass | Service.svc-https.authorized=True:pass | SoftwareComponent.software-web.name='ExampleWeb':pass | SoftwareComponent.software-web.version='1.0.0':pass | SoftwareComponent.software-web.authorized=True:pass | Missing evidence.software_inventory
TC-RULE-ID-AM-03-E-COMPLIANT,asset-tc-rule-id-am-03-e-compliant,CTRL-ID-AM-03-E,RULE-ID-AM-03-E,REQ-ID-AM-03-E,COMPLIANT,COMPLIANT,NONE,NONE,True,Positive path: all observable rule conditions and required evidence are satisfied.,NetworkFlow.flow-https.source='internet':pass | NetworkFlow.flow-https.destination='asset-web':pass | NetworkFlow.flow-https.transport_protocol='tcp':pass | NetworkFlow.flow-https.application_protocol='https':pass | NetworkFlow.flow-https.authorized=True:pass
TC-RULE-ID-AM-03-E-VIOLATION,asset-tc-rule-id-am-03-e-violation,CTRL-ID-AM-03-E,RULE-ID-AM-03-E,REQ-ID-AM-03-E,NON_COMPLIANT,NON_COMPLIANT,NONE,NONE,True,Known values deliberately violate the technical conditions exercised by this rule.,NetworkFlow.flow-https.source='':fail | NetworkFlow.flow-https.destination='':fail | NetworkFlow.flow-https.transport_protocol='':fail | NetworkFlow.flow-https.application_protocol='':fail | NetworkFlow.flow-https.authorized=False:fail
TC-RULE-ID-AM-03-E-NO-EVIDENCE,asset-tc-rule-id-am-03-e-no-evidence,CTRL-ID-AM-03-E,RULE-ID-AM-03-E,REQ-ID-AM-03-E,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,True,A required evidence item is detached; the rule cannot be verified conclusively.,NetworkFlow.flow-https.source='internet':pass | NetworkFlow.flow-https.destination='asset-web':pass | NetworkFlow.flow-https.transport_protocol='tcp':pass | NetworkFlow.flow-https.application_protocol='https':pass | NetworkFlow.flow-https.authorized=True:pass | Missing evidence.network_flow_inventory
TC-RULE-ID-AM-03-E-PROFILE-NA,asset-tc-rule-id-am-03-e-profile-na,CTRL-ID-AM-03-E,RULE-ID-AM-03-E,REQ-ID-AM-03-E,NOT_APPLICABLE,NOT_APPLICABLE,NONE,NONE,True,The organization wrapper uses the important profile for an essential-only rule.,regola esclusa dal profilo ACN important
TC-RULE-ID-AM-04-COMPLIANT,asset-tc-rule-id-am-04-compliant,CTRL-ID-AM-04,RULE-ID-AM-04,REQ-ID-AM-04,COMPLIANT,COMPLIANT,NONE,NONE,True,Positive path: all observable rule conditions and required evidence are satisfied.,asset.provider_services_inventory_complete=True:pass
TC-RULE-ID-AM-04-VIOLATION,asset-tc-rule-id-am-04-violation,CTRL-ID-AM-04,RULE-ID-AM-04,REQ-ID-AM-04,NON_COMPLIANT,NON_COMPLIANT,NONE,NONE,True,Known values deliberately violate the technical conditions exercised by this rule.,asset.provider_services_inventory_complete=False:fail
